,Article
8856,"Böylece merakımın peşinden koşa koşa bugünlere geldim. Tabii şunu söylemek lazım ki, kadınların hayatlarının aşkını bulmak ve çocuk sahibi olmak, düzenli ve sürekli bir ev hayatı tutturmak, bu hayatın düzenini sarsmayacak işlerle ve belki yeterince imtiyazlıysa sanatla meşgul olmak dışında bir tutkusu ve hayali olması çok da kabul görmez. Akademik çalışma benim çevremde de zaman zaman böyle imkânsız bir tutku olarak görüldü. Çok sık olmasa da, belirli dönemeçlerde, genelde kadınlardan duyduğum “Çok da kendini işe güce kaptırma, hayat geçici” ya da “Dünyalık hırs o kadar iyi değil” gibi alttan alta gelen uyarı ve tavsiyeler, peşine düştüğüm işin kadınlar açısından pek de makbul olmadığının kibarca ifadesi değilse nedir? Bu sinsi muhalefete rağmen sebat ettiysem, akademinin kadınlarının, hocalıklarının yanında verdikleri ilham ve dostlukları sayesindedir."
8857,"Diğer yandan, bahsettiğim o sinsi muhalefetin işaret ettiği acı bir gerçek var: Akademi giderek dünyalık bir hırsa dönüşüyor. Yaklaşık 15 yıllık sosyal bilim eğitiminin ve başlı başına iki akademik araştırmanın sonunda, Türkiye’nin akademilerinde, kendi hayatımıza doğru, kendi hayatlarımızdan çıkan soruları cesaretle sormamızdan hoşlanılmadığını daha net bir şekilde görüyorum. Akademisyenlerden geniş zamanlı, hamasi ve güncel siyasete “başarıyla” eklemlenen cümleler beklenirken, Ferhunde Özbay gibi araştırmacıların yaptığı tarzda bir sosyolojinin ruhuna Fatiha mı okuyacağız? Araştırma sorularıyla, yöntemle, verilerle ve bunlara uğraşmanın bilgisiyle değil, devletin ve piyasanın akademiye ihale ettiği sorularla mı uğraşacağız?"
8858,"Bu şartlar altında zaman zaman da kendime soruyorum: Akademik çalışma gerçekten sırf merak için, gece uykularını kaçıran sorular için, bu soruları sormanın politik imkânları için, akademiyle gündelik hayat arasında, gündelik hayatla siyaset yapma arasında köprüler kurabilmek için yapılır mı? Buna değer mi/değdi mi? Bundan sonra bu mücadeleyi vermeye değecek mi? Üstelik ucunda gerçekten dünyalık bir ödül beklemezken? Öyle ya, üç yıl öncesine dek “teknik” nedenlerle üniversitelerde iş bulacağına dair hiçbir beklentisi olmayan bir doktora öğrencisiydim ben. Şimdiyse herkese açılmış gibi gözüken akademiden yana yine pek umudum yok. Gittikçe piyasalaşan bir akademide benim sorularımın ederi/değeri nedir, gerçekten bilmiyorum, böyle bir hesaba girmek bile canımı sıkıyor."
8859,"Ama yine de akademinin kadınlarının içime koydukları o iflah olmaz merak ve araştırma heyecanından memnunum. Yani tüm umutsuzluğa rağmen evet, bu çabaya değdi ve değecek. Doktora bittiyse de bildiğim ve yaşadığım haliyle öğrenciliğimi bitirmeye niyetim olmadığı gibi, akademinin kadınlarının açtığı yolun kapanmasına izin vermeye de gönlüm razı değil."
8860, 
8861,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8862,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8863,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8864,Konuk Yazar: Haşime Elif Kılıçaslan
8865,
8866,Annem ne güzel uyuyor. Hiç sesimi çıkarmıyorum. Halbuki uyanık olmasını isterdim. Benimle oynamasını. Beraber kahkahalar atmayı. Oysa tüm gün gelmesini bekledim. Annemi çok özlüyorum. Başkalarının evlerine temizliğe gidiyor annem. Çok çalışıyor. Çalışkan bir kadın o.
8867,Yalan söyledim. En çok anneme vurmamayı isterdim. Ben vurduğumda annemin “Olsun” der gibi merhametle bakan gözleri…
8868,"Babaannem camda. Yolu gözlüyor. Her zamanki gibi tedirgin. Bir camdan diğerine gidiyor. Dudakları sürekli kımıldıyor. Dua ediyormuş. Keşke Allah babaannemi bir kere duysa. Bizi herkes duyuyor, aslında. Komşular duyuyor. Polis amcalar duyuyor. Babamı götürüyorlar. Bazen. Sonra hemen geliyor babam. Daha çok kızıyor o zaman. Ama hiçbir şey değişmiyor."
8869,"Babaannem hızla içeri koşturdu. Anneme “Geliyor”, dedi. Hemen toparlandı annem. Karşılama ekibi olarak bekliyoruz. Geldi işte. Sürekli zile basıyor. Bir taraftan da kapıyı tekmeliyor. Çok korkuyorum. Annem de korkuyor. Babaannem de."
8870,"İçeri yalpalayarak girdi. Ayakta duramadı ve düştü, eyvah!"
8871,"-Senin yüzünden düştüm, pis karı!"
8872,"Çok bağırıyor, çok dövüyor annemi. Yorulduğunda beni çağırıyor. “Vur annene, vur!”"
8873,"Çok korkuyorum. Bağırıyor. “Daha hızlı, daha hızlı!” Sesi kocaman babamın. Sanki o bağırdığında tüm dünya titriyor. Geçen gün deprem oldu. Babam bağırdığında bence dünya daha çok sallanıyor."
8874,"Annemin üstü başı kan. Annemin çığlıkları rüzgârın uğultusu gibi. Ben vururken susuyor, bağırmıyor. Gözlerime bakıyor. Bazen de saklıyor; gözlerini."
8875,"Sonra karnı acıkıyor babamın. Yemek yiyor, tv seyrediyor. Ondan sonra benim uyumam gerekiyor."
8876,Annemi odada bırakıp yatağıma gidiyorum. Yatağımda çok titriyorum. Galiba ben çok üşüyorum. Genelde ağlarım. Çok sessiz ama.
8877,Sabah kalktığımda annem banyo yapıyor oluyor. Babaanneme soruyorum. Neden her gün annem banyo yapıyor?
8878,Babaannem utanıyor. Biraz da kızıyor. Çocuklar öyle her şeye karışmaz.
8879,"Babaannem bazen “Kızım sen kaç kurtul,” diyor."
8880,"Annem “Seni nasıl bırakırım. Önce seni sonra beni öldürür,” diyor. "
8881,"Ölümden çok bahsediyorlar. Korkuyorum, babam bizi öldürür mü?"
8882,                                                                 ***
8883,"Bu olayı dinlerken yutkundum ve Ece Ayhan’ın “örgütlenmiş sorumsuzluk” tanımını hatırladım. “.…yamuk ve yampiri bu dünya; tabii bana göre, tümüyle bir ‘kötülük toplumu’ ya da daha yetkin anlatışla, ‘örgütlenmiş sorumsuzluktur’.”"
8884,"Bazen sözcüklerimizi, cümlelerimizi abartılı bulan arkadaşlarımız oluyor. Kötülük toplumunu da üstümüze alınacak değiliz herhalde denilebilir."
8885,"Üsküdar’da sokakta kız arkadaşını döven genci seyredenlere “Bir şeyler yapsanıza, niye seyrediyorsunuz” dediğimde içlerinden biri “Belki namusudur” dedi. Erk sahiplik ve efendilik istiyor, sonra da itaat. Yine mi kadın cinayeti, aaa bu kadarı da olmaz artık dedikten hemen sonra hayatımıza kaldığımız yerden devam ediyoruz. Hiçbir sorumluluk hissetmeden. Steril, konforlu hayatlarımıza."
8886,"Oysa her şey yanı başımızda oluyor. Hepimiz sorumluyuz, hepimiz!"
8887,"Ortalama algıları kırmak, düşenleri kaldırmak zorundayız."
8888,"Bu diri diri gömülen kadınların, çocukların hikâyesi."
8889,"Bu sorumsuzluğumuzun, normalleştirdiğimiz kahrolası kötülüğün hikâyesi. Yapılacak çok şey var. Şiddetin üretilmesine zemin hazırlayan bir zihniyet var. Kaynak olan nedenleri kaldırmak, cinsiyetçi bakış açısıyla mücadele etmek ama hepsinin üstünde sorumluluk almak zorundayız."
8890,Diri diri toprağa gömülen kıza sorulduğu zaman;
8891,“Hangi suçtan dolayı öldürüldü?” Tekvir 8-9
8892,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8893,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8894,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8895,Yazar: Fatma Büşra Helvacıoğlu 
8896,
8897,"Bir süre önce annem öğrencilerinden birisinin babası tarafından okuldan alındığını söyledi. Velisi gerekçe olarak kızlarla erkeklerin birlikte öğrenim görmesinden rahatsız oluşunu göstermiş. Çocuğu erkek olsaydı yine böyle hassas olur muydu bilmiyorum. Annem sınıfımdaki en akıllı, en kafalı çocuktu diyor. Konuşkan da bir çocuk belli ki, babasının “marifetlerini” sayıp dökermiş. Çocukların kızlı-erkekli okumasından rahatsız babamız televizyondaki kadınları boş geçmezmiş mesela, Allah affetsin. Annem bunları anlatırken epey sinirliydi, çünkü adamla da saatlerce konuşmuş, kızını okuldan almasının çocuğa büyük haksızlık olacağını söylemiş, çok iyi bir öğrenci diye diretmiş, adam yine de yok demiş, kardeşim, siz orada kızlı-erkekli şarkı filan söylettiriyorsunuz çocuklara, böyle şey istemem. Bunları da duyunca belki dedik adam bir tarikata intisap etti de biz geri kalan fanilerin yolu yol değil, diye düşündü. Kızı da okuldan aldı. Bütün sülale eteğine yapışmış adamın ama bizimki Nuh demiş, peygamber dememiş. Çocuklar şarkı söylüyorlarmış, “güzellerde naz olur” diye bir söz geçiyormuş şarkıda, bu nasıl işmiş."
8898,"Neyse işte yasal olarak yapılacak her şey yapılmış. Okul müdürüne, kaymakama haber verilmiş. Takip etmekten başka yapacak bir şey de kalmamış. Bunları dinlerken cidden sinirlendiğimi hissettim. Demek ki eğitim hakkı diye bir şeye inanıyormuşum dedim içimden. Buna da sinirlendim. Eğitim dediğimiz şeyin içeriği belli ne de olsa. İdeolojik yüklemeler, sınıfsal yüklemeler, bolca propaganda ve benzeri. Bu kızın eğitimden alıkonulmasına sinirlenmiştim sinirlenmesine ama (içimdeki aydınlanmacı feministe merhaba deyin, ilk taşı da içinde aydınlanmacılık yatmayan atsın) bir taraftan eğitim denen şeye pek de inanmıyordum. Yani yarın birisi çıkıp eğitim kurumlarını (akademiyle birlikte) kökünden halledelim mi dese bana uyar kardeş diyecek militanlıktaydım. Dolayısıyla da bunun çocuk için ne kadar karanlık bir şey olacağından emin değildim. Annem de veliyi ikna etmeye çalışmasına rağmen, bana milli eğitime pek o kadar inanmadığını, bir rejimin bir şey, öbürünün başka şey dayattığını, çocukların ahlâklı yetişmesini sağlayacak bir düzen olmadığını söylemişti. Lafın kısası, demişti, “babasının ona vereceği eğitim bizimkinden daha mı kötüdür, bilmiyorum bunu.”"
8899,"Kafama takılan mesele şu: Çocuklar ailelerin malı değildir evet ama devletin de malı değildir. Çocuğuna devlet tarafından doğru bir eğitim verilmediğine inanan bir anne-baba, onu kendince daha iyi bir donanım için başka yerlere de sevk edemez mi? Devlet mi ailen mi deseler ailemin diyeceğini tercih ederim muhtemelen ama bu şimdi geldiğim yerle ilişkili bir şey. İkisini de tercih etmem diyenler olabilir, bu da biraz hayalperestlik. Uzayda mı yaşıyoruz? Hah, yaşamıyoruz değil mi. Lafı oraya getirecektim. Her birimiz belirli koşulların, belirli ilişki biçimlerinin, belirli bir ailenin ve sınıfın içerisine doğuyoruz. Hayat boyu yaptığımız her hareket de bir şekilde bunlarla ilişkili. Evet, devletin kötü politikalarıyla ailenin dayatmacı tutumu arasında kalan bir çocuk var, ama bu çocuk zaten belirli yaşa kadar hep sözünü ettiğimiz koşulların, ilişkilerin, ailesinin kendisine yüklediğiyle hareket edecek."
8900,"Yetişkin olduktan sonra da devletle olan ilişkimize göre, ailemizden birçok şeyi miras alarak devam ettiğimiz bir yol var. Bunu da biz seçmiyoruz. Sadece geçmişimizden ve toplumsal arka planımızdan hiç de bağımsız olmayan şekillerde bazı sapmalar, savrulmalar yaşıyoruz. Ancak bunları söylerken irade göstermenin önemini hepten reddetmiyorum elbette. Konforumuzu bozup, koşullarımızı aşmaya çalışarak, sorumluluk aldığımız her an umut var. Derdim herhalde, muhalefet ederken bile esen rüzgârlara bağlıyken, kendimizi haksızlığa karşı savunduğumuz noktalar bile geçmişimizle doğrudan ilintiliyken, yani ortada etkilerden bağımsız karar alabilen soyut bir birey filan yokken, eğitimi özgürlüğe giden yol olarak görüp yüceltmek. Eğitimi yüceltmek aslında bir yerde tek başına kurtuluşu da önermek demek. Tek başına kurtuluş ne demek?"
8901,Hikâyeni tek başına yazabilir misin meselâ? Bunun üzerinde duralım.
8902,***
8903,"Bu soruları hikâyesi devlet eliyle, doğrudan şiddet yoluyla sonlandırılan, tekrar tekrar öldürülen çocuklar için soramayız, soramıyoruz. Bunca sisin pusun, karanlığın, akıl almazlığın ortasında daha fazla konuşmak anlamsız gelebilir, geliyor da zaten, ama yine de son bir umut, ısrarla, söylemek lazım: Zulümle abad olunmaz. Çocukların her şeyden önce çocuk olamadığı bir dünyadan daha büyük zulüm de olmaz elbet."
8904, 
8905, 
8906,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8907,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8908,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8909,Konuk Yazar: Ülkü Tatar
8910, 
8911,"Üç sene önce taşındığımız mahallede gördüm. Anneler misafir olarak gittiği yerlerde kendisine uygun bir gelin ve oğluna uygun bir eş arardı. Özellikle bunun için toplandıkları bile olurdu. Bu uygun gelin adayının elinden her iş gelir olması, saygılı ve efendi, üstelik de belirli bir ailenin namuslu kızı olması onun en belirgin özellikleri arasındaydı. Uygun bulunan eş için erkeğin üzerine düşen de onaylamaktı. Bu zamanda böyle bir kız bulduğu için kendini şanslı bile hissetmeliydi."
8912,Gelin adayının okumamış (!) olmasına özen gösterilirdi. Çünkü bir genç kızın okumuş olması demek dinimiz açısından (!) fazlasıyla günahkar olduğuna işaretti. Hem de bir aile kurmak ve onu idare etmek konusunda yeterli olmadığını da göstermekteydi. Böyle kötü vasıflara sahip olmayan gelin hanımı anneler seçtiyse ailenin diğer üyeleri de onu koşulsuz kabul ederdi. Çünkü anne seçtiyse gerçekten vardı bir bildiği…
